"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.448137499E-2,-6.447052270E-2,2.088426626E-1,-1.860049000E0
2.446737501E-2,-1.100729576E-1,6.596243978E-3,-1.542591383E0
3.445337503E-2,-1.678124580E-1,-2.077609277E-1,-1.031662849E0
4.443937499E-2,-2.780672640E-2,-3.541845632E-1,-4.298475337E-1
5.442537501E-2,1.604136837E-1,-3.661467969E-1,1.107813478E-1
6.441137503E-2,2.307860935E-1,-3.349267584E-1,5.184667647E-1
7.439737499E-2,2.205707154E-1,-3.124769586E-1,8.762613988E-1
8.438337501E-2,1.771095309E-1,-2.075030655E-1,1.006042689E0
9.436937503E-2,8.467382222E-2,-9.985582530E-2,8.575456309E-1
1.043563750E-1,1.096013796E-1,-8.732290328E-2,5.706321144E-1
1.143423750E-1,2.615251985E-1,-1.234510946E-1,3.348524988E-1
1.243283750E-1,3.348510370E-1,-1.372230417E-1,2.952715266E-1
1.343143750E-1,2.401235121E-1,-1.214811677E-1,3.161150962E-1
1.443003750E-1,1.954715422E-1,-1.373809165E-1,3.215038902E-1
1.542863750E-1,1.816171494E-1,-1.143680298E-1,3.285486156E-1
1.642723750E-1,2.020183772E-1,-8.939983428E-2,4.275776446E-1
1.742583750E-1,1.291819507E-1,-1.391093534E-1,6.138050312E-1
1.842443750E-1,1.180680017E-1,-1.974733365E-1,7.934999084E-1
1.942303750E-1,1.820032118E-1,-1.838206726E-1,9.031819797E-1
2.042163750E-1,1.894554882E-1,-1.061275488E-1,8.248374760E-1
2.142023750E-1,2.021782985E-1,-6.631151855E-2,6.149738896E-1
2.241883750E-1,2.599379718E-1,-9.510788620E-2,3.419434172E-1
2.341753750E-1,3.457448383E-1,-1.629086906E-1,8.476065338E-2
2.441613750E-1,4.705878626E-1,-2.436201471E-1,-1.477182090E-2
2.541473750E-1,5.070415977E-1,-2.818872499E-1,-1.075846750E-1
2.641333750E-1,5.022968745E-1,-2.273251265E-1,-2.170626783E-1
2.741193750E-1,4.940603404E-1,-1.340263689E-1,-3.757713139E-1
2.841053750E-1,4.863987337E-1,-9.137034595E-2,-5.302032959E-1
2.940913750E-1,4.401079354E-1,-4.598542750E-2,-6.438696599E-1
3.040773750E-1,3.278596674E-1,-9.938512444E-3,-6.422154826E-1
3.140633750E-1,3.099492073E-1,-7.328315377E-3,-4.721527237E-1
3.240493750E-1,3.856688958E-1,-7.348780632E-3,-1.761912256E-1
3.340353750E-1,4.562906894E-1,-7.092029393E-2,8.851398110E-2
3.440213750E-1,5.324667531E-1,-1.417780226E-1,2.904528362E-1
3.540073750E-1,6.725195548E-1,-1.918027067E-1,4.348381323E-1
3.639943750E-1,6.950576475E-1,-2.039660847E-1,3.848976481E-1
3.739803750E-1,6.273758340E-1,-1.604236239E-1,2.777386504E-1
3.839663750E-1,6.358826557E-1,-7.671488464E-2,2.458251321E-1
3.939523750E-1,5.131158315E-1,9.968333244E-3,3.460206807E-2
4.039383750E-1,3.179921986E-1,4.281623662E-2,-3.220634687E-1
4.139243750E-1,1.603721684E-1,3.049206018E-2,-4.972747010E-1
