"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.843702793E-2,6.506084314E1,2.546688391E1,1.327000046E1,NaN,NaN,3.419984424E1,3.000000000E1
9.503197670E-2,6.506084595E1,2.546689188E1,1.327000046E1,NaN,NaN,8.054831732E1,3.000840637E1
7.349519730E-1,6.506083293E1,2.546704492E1,1.327000046E1,NaN,NaN,3.591799385E1,3.000000000E1
4.058749914E0,6.506083397E1,2.546704536E1,1.702368164E1,NaN,NaN,5.201335741E1,6.400000000E1
5.065742970E0,6.506071138E1,2.546689677E1,1.508129883E1,9.489999771E0,1.504687500E2,2.843139787E1,1.600000000E1
6.063371897E0,6.506057656E1,2.546740827E1,1.361505127E1,9.489999771E0,1.444921875E2,1.550456145E1,1.200000000E1
7.062834024E0,6.506073428E1,2.546716269E1,1.508929443E1,2.940000057E0,NaN,1.401209918E1,1.200000000E1
8.068428040E0,6.506075808E1,2.546696551E1,1.317175293E1,2.299999952E0,1.631250000E2,1.294971781E1,1.200000000E1
9.065769911E0,6.506074471E1,2.546703672E1,1.065490723E1,1.509999990E0,3.188671875E2,1.299136609E1,1.200000000E1
1.006782794E1,6.506082825E1,2.546689096E1,1.411700439E1,1.509999990E0,3.188671875E2,1.302216941E1,8.000000000E0
1.106230211E1,6.506078767E1,2.546688579E1,1.132067871E1,4.699999988E-1,3.188671875E2,1.304838241E1,8.000000000E0
1.206915808E1,6.506079547E1,2.546683260E1,1.332153320E1,4.699999988E-1,NaN,1.307776509E1,8.000000000E0
1.306018996E1,6.506080109E1,2.546689836E1,1.803161621E1,6.000000238E-1,2.629687500E2,1.234545956E1,6.000000000E0
1.407058811E1,6.506081162E1,2.546696710E1,1.372814941E1,1.769999981E0,3.280078125E2,1.243168042E1,6.000000000E0
1.506593490E1,6.506079147E1,2.546688711E1,1.493872070E1,1.769999981E0,2.267578125E2,1.250134938E1,8.000000000E0
1.606750035E1,6.506077877E1,2.546685046E1,1.519014008E1,1.769999981E0,2.267577876E2,7.738163966E0,8.000000000E0
1.706929028E1,6.506075255E1,2.546689366E1,1.467020238E1,8.600000143E-1,2.267578004E2,6.570481500E0,1.200000000E1
1.807535875E1,6.506074650E1,2.546692640E1,1.601142127E1,6.000000238E-1,NaN,6.108639447E0,1.200000000E1
1.907058537E1,6.506072541E1,2.546705968E1,1.814486894E1,5.400000215E-1,2.267578050E2,1.243680403E1,1.200000000E1
2.007449365E1,6.506068520E1,2.546705136E1,2.265218553E1,5.500000119E-1,2.267578048E2,9.434269022E0,1.600000000E1
2.107446659E1,6.506069013E1,2.546701521E1,1.898392686E1,5.400000215E-1,2.267578049E2,8.877076252E0,1.600000000E1
2.207101607E1,6.506070333E1,2.546698414E1,1.762002573E1,5.500000119E-1,2.875781149E2,7.304480718E0,1.200000000E1
2.306587625E1,6.506068167E1,2.546693240E1,1.700962664E1,1.539999962E0,2.696484080E2,7.338517665E0,1.200000000E1
2.407538462E1,6.506066137E1,2.546688075E1,1.337625322E1,5.899999738E-1,2.696484260E2,1.167659511E1,1.200000000E1
2.507590759E1,6.506057454E1,2.546673720E1,1.033732233E1,5.899999738E-1,2.696484261E2,1.356606706E1,1.200000000E1
2.607298863E1,6.506061499E1,2.546665563E1,8.549659823E0,5.899999738E-1,3.114843665E2,1.651656521E1,1.600000000E1
2.707307577E1,6.506036047E1,2.546674062E1,1.127450764E1,8.000000119E-1,3.234374908E2,1.689988696E1,1.200000000E1
2.807552493E1,6.506037141E1,2.546674534E1,1.544741641E1,7.099999785E-1,3.234374918E2,1.510861582E1,1.200000000E1
2.907539093E1,6.506043468E1,2.546671466E1,1.575998321E1,1.049999952E0,3.318749905E2,1.316746396E1,1.200000000E1
3.007338691E1,6.506048377E1,2.546680337E1,1.406409660E1,1.049999952E0,4.851564012E1,1.023298083E1,8.000000000E0
3.107617664E1,6.506043020E1,2.546682466E1,9.425155793E0,1.049999952E0,4.851564019E1,1.414884824E1,1.200000000E1
3.207779288E1,6.506048143E1,2.546683609E1,1.188772975E1,6.800000072E-1,4.851563483E1,1.211484342E1,1.200000000E1
3.308572698E1,6.506051293E1,2.546685812E1,1.182766734E1,6.800000072E-1,4.851563489E1,1.065302193E1,8.000000000E0
3.408406150E1,6.506053812E1,2.546676018E1,1.095937165E1,5.099999905E-1,4.851563235E1,8.957238686E0,8.000000000E0
3.508164644E1,6.506052839E1,2.546682472E1,1.326788339E1,5.099999905E-1,4.851563234E1,8.189535137E0,6.000000000E0
3.608062160E1,6.506053741E1,2.546673824E1,1.168720483E1,2.269999981E0,2.281640300E2,8.943335585E0,6.000000000E0
3.708213639E1,6.506051834E1,2.546666379E1,1.271933415E1,2.359999895E0,2.299218402E2,1.078980235E1,8.000000000E0
3.808293426E1,6.506049026E1,2.546663867E1,1.196859219E1,2.359999895E0,2.274609040E2,1.428037851E1,1.200000000E1
3.908360088E1,6.506053345E1,2.546667309E1,1.310079659E1,3.150000095E0,2.302733908E2,1.934150423E1,1.200000000E1
4.008154953E1,6.506051749E1,2.546665319E1,1.263851249E1,3.130000114E0,2.235937085E2,2.185906969E1,1.600000000E1
4.108163154E1,6.506055843E1,2.546671516E1,1.199283751E1,4.289999962E0,2.253515037E2,4.420522105E1,3.200000000E1
4.408173800E1,6.506072658E1,2.546673339E1,1.482958984E1,2.109999895E0,2.696484375E2,2.564237421E2,1.280000000E2
4.508264709E1,6.506075805E1,2.546693414E1,1.285949707E1,2.109999895E0,2.816015625E2,4.845595130E1,2.400000000E1
